'id_car_option_value','id_car_option','id_car_equipment','is_base','date_create','date_update','id_car_type'
'17936','1046','285','1','1464484351','1464484351','1'
'17937','1047','285','1','1464484351','1464484351','1'
'17938','86','285','1','1464484351','1464484351','1'
'17939','1048','285','1','1464484351','1464484351','1'
'17940','1080','285','1','1464484351','1464484351','1'
'17941','1081','285','1','1464484351','1464484351','1'
'17942','235','285','1','1464484351','1464484351','1'
'17943','236','285','1','1464484351','1464484351','1'
'17944','216','285','1','1464484351','1464484351','1'
'17945','1082','285','1','1464484351','1464484351','1'
'17946','664','285','1','1464484351','1464484351','1'
'17947','1083','285','1','1464484351','1464484351','1'
'17948','1084','285','1','1464484351','1464484351','1'
'17949','176','285','1','1464484351','1464484351','1'
'17950','1050','285','1','1464484351','1464484351','1'
'17951','627','285','1','1464484351','1464484351','1'
'17952','181','285','1','1464484351','1464484351','1'
'17953','2','286','1','1464484351','1464484351','1'
'17954','3','286','1','1464484351','1464484351','1'
'17955','4','286','1','1464484351','1464484351','1'
'17956','978','286','1','1464484351','1464484351','1'
'17957','70','286','1','1464484351','1464484351','1'
'17959','6','286','1','1464484351','1464484351','1'
'17960','1058','286','1','1464484351','1464484351','1'
'17961','759','286','1','1464484351','1464484351','1'
'17962','983','286','1','1464484351','1464484351','1'
'17963','985','286','1','1464484351','1464484351','1'
'17964','1059','286','1','1464484351','1464484351','1'
'17965','7','286','1','1464484351','1464484351','1'
'17966','957','286','1','1464484351','1464484351','1'
'17967','494','286','1','1464484351','1464484351','1'
'17968','9','286','1','1464484351','1464484351','1'
'17969','958','286','1','1464484351','1464484351','1'
'17970','1060','286','1','1464484351','1464484351','1'
'17971','855','286','1','1464484351','1464484351','1'
'17972','1061','286','1','1464484351','1464484351','1'
'17973','1062','286','1','1464484351','1464484351','1'
'17974','252','286','1','1464484351','1464484351','1'
'17975','499','286','1','1464484351','1464484351','1'
'17976','1063','286','1','1464484351','1464484351','1'
'17977','253','286','1','1464484351','1464484351','1'
'17978','993','286','1','1464484351','1464484351','1'
'17979','13','286','1','1464484351','1464484351','1'
'17980','14','286','1','1464484351','1464484351','1'
'17981','15','286','1','1464484351','1464484351','1'
'17982','1064','286','1','1464484351','1464484351','1'
'17983','400','286','1','1464484351','1464484351','1'
'17984','997','286','1','1464484351','1464484351','1'
'17985','861','286','1','1464484351','1464484351','1'
'17986','999','286','1','1464484351','1464484351','1'
'17987','255','286','1','1464484351','1464484351','1'
'17988','1000','286','1','1464484351','1464484351','1'
'17989','19','286','1','1464484351','1464484351','1'
'17990','1065','286','1','1464484351','1464484351','1'
'17991','143','286','1','1464484351','1464484351','1'
'17992','960','286','1','1464484351','1464484351','1'
